codigo_suministro,operacion_apertura,Horas Inter,ENS $,Mes
312217602,104876610,"5,62","189,51",4
350479801,105834266,"8,70","189,24",4
356469401,105581469,"6,73","189,14",4
303051301,104912427,"8,18","189,14",4
329645702,106197719,"4,12","188,59",4
305650601,104878250,"17,36","187,23",4
303488902,105598507,"2,31","186,97",4
366753201,105286417,"7,87","186,50",4
317972902,105033066,"3,40","185,93",4
321460101,104820035,"3,27","184,61",4
310797901,104746018,"13,80","184,37",4
328920002,105073835,"10,07","181,51",4
316986602,106182689,"19,53","180,37",4
337311401,105131444,"9,29","177,74",4
350233701,106823353,"4,32","177,38",4
363848101,106843612,"9,34","177,09",4
357385202,104952539,"4,06","177,06",4
312655801,105576502,"8,87","176,95",4
317523702,106426877,"3,16","176,82",4
359291701,105203954,"1,07","176,47",4
327127101,105795671,"10,70","175,99",4
361868101,105689967,"20,36","175,68",4
351400506,105485357,"7,77","175,18",4
321509801,106847844,"7,92","174,71",4
366155401,105799694,"6,40","174,19",4
365637801,106821205,"1,96","171,55",4
366777801,106604080,"3,60","170,32",4
318609608,105868939,"6,71","169,78",4
300063001,105228506,"9,17","169,25",4
350878602,104881796,"3,12","168,83",4
355878401,106178101,"0,97","167,11",4
363883501,106140423,"25,61","166,00",4
353842701,105958566,"4,91","165,39",4
315900401,106190896,"1,26","165,34",4
361616802,105000513,"2,40","164,57",4
315722511,106811488,"2,39","163,51",4
316931601,106022015,"9,52","162,95",4
355726801,106714852,"5,88","162,77",4
350789001,105485572,"7,67","162,17",4
367248101,106832023,"13,04","161,84",4
319215601,105703507,"11,72","160,91",4
353644301,106611180,"3,82","160,52",4
357333501,105340397,"2,79","160,31",4
321454701,104783503,"2,82","159,23",4
355770201,106766389,"3,55","159,12",4
307722802,105899955,"13,78","158,95",4
318825601,105934749,"12,67","158,28",4
361170901,106822336,"5,10","158,19",4
313534901,105703851,"11,44","158,02",4
358484801,106824121,"14,42","157,77",4
362421402,104832214,"0,86","157,68",4
323337801,104783312,"2,86","157,38",4
358434301,104767731,"11,33","156,53",4
321453501,104828787,"2,15","156,48",4
367592201,105549378,"2,28","155,90",4
350083502,105960963,"4,24","155,79",4
355056301,106837977,"1,80","155,47",4
363858901,105024214,"4,58","155,20",4
329227501,106409949,"2,91","155,12",4
328992801,105020795,"6,37","154,88",4
321340203,105546469,"1,73","154,86",4
313072904,106824151,"14,42","154,11",4
319215403,105702733,"12,09","153,72",4
362179101,104725250,"11,00","153,50",4
365248801,105872920,"2,23","153,35",4
327725801,105654497,"14,79","153,00",4
363316101,106177644,"1,24","152,99",4
350987801,105389470,"15,65","152,97",4
318608204,105867415,"7,34","152,95",4
307481801,106076960,"7,25","152,39",4
358554302,105844589,"2,66","151,63",4
354499001,105061569,"5,00","151,31",4
357721008,105059667,"5,41","150,41",4
322064401,106394056,"11,53","150,23",4
356484901,106477056,"1,88","150,14",4
312657304,105672271,"11,25","149,88",4
360979502,106179584,"2,90","149,84",4
306322602,105813303,"1,76","149,75",4
305699601,106676980,"6,78","149,35",4
350986901,104801278,"10,46","148,33",4
323326701,105058687,"5,60","148,27",4
358488701,104810241,"4,89","147,98",4
354677501,105561198,"14,87","147,10",4
353980201,105956940,"8,68","146,90",4
366235301,105640635,"5,39","146,72",4
308636801,106744912,"3,16","146,47",4
315182301,104752549,"9,66","146,38",4
307761401,105866646,"19,81","146,35",4
323022006,105640644,"1,19","146,16",4
321454802,104808384,"5,44","145,97",4
308575601,105144154,"3,71","145,65",4
318706501,106237229,"3,68","145,28",4
329640902,106826452,"17,79","145,20",4
324527001,105737202,"11,06","144,91",4
313810101,104725780,"7,17","144,66",4
313291701,105017658,"4,19","144,31",4
359254201,105064124,"4,47","144,00",4
367057001,105060867,"5,21","143,29",4
321679301,105188261,"20,57","143,17",4
326208801,105635382,"2,12","142,27",4
354719501,105061115,"5,12","141,79",4
312349201,106048504,"5,78","140,49",4
307051704,105153437,"4,22","140,21",4
300670801,106836682,"12,94","140,20",4
363815501,104801226,"10,49","140,19",4
309088101,105230146,"8,42","140,05",4
323334701,104785382,"2,29","139,08",4
307308501,106427498,"11,43","138,56",4
357979301,106177531,"1,29","138,40",4
367229901,104751703,"10,32","138,05",4
325933401,104890243,"1,72","137,83",4
318584201,105897397,"14,08","137,38",4
356660501,105855447,"4,84","137,20",4
326744401,105672550,"11,12","137,06",4
323326701,104808946,"5,15","136,44",4
316006702,105564608,"2,48","136,20",4
315316001,105581700,"15,05","136,10",4
314148601,106197849,"7,17","135,96",4
311200001,106726109,"3,09","135,79",4
306735912,106433974,"13,05","135,33",4
